id_canal,st_titulo,dh_inicio,dh_fim,id_programa,titulo
483,it_takes_a_killer,2018-08-02T13:10Z,2018-08-02T13:40Z,647184,It Takes A Killer
483,hacker,2018-08-02T13:40Z,2018-08-02T16:00Z,451450,Hacker
483,chicago_med,2018-08-02T16:00Z,2018-08-02T16:55Z,626779,Chicago Med
483,chicago_med,2018-08-02T16:55Z,2018-08-02T17:50Z,631044,Chicago Med
483,chicago_med,2018-08-02T17:50Z,2018-08-02T18:45Z,633287,Chicago Med
483,chicago_med,2018-08-02T18:45Z,2018-08-02T19:40Z,633288,Chicago Med
483,coracoes_de_ferro,2018-08-02T19:40Z,2018-08-02T22:05Z,443250,Corações de Ferro
483,macgyver,2018-08-02T22:05Z,2018-08-02T23:00Z,663464,Macgyver
483,elementary,2018-08-02T23:00Z,2018-08-02T23:55Z,663453,Elementary
483,chicago_med,2018-08-02T23:55Z,2018-08-03T00:50Z,637922,Chicago Med
483,chicago_med,2018-08-03T00:50Z,2018-08-03T01:45Z,626779,Chicago Med
483,chicago_med,2018-08-03T01:45Z,2018-08-03T02:40Z,631044,Chicago Med
483,chicago_med,2018-08-03T02:40Z,2018-08-03T03:35Z,633287,Chicago Med
483,chicago_med,2018-08-03T03:35Z,2018-08-03T04:40Z,633288,Chicago Med
483,coracoes_de_ferro,2018-08-03T04:40Z,2018-08-03T07:00Z,443250,Corações de Ferro
483,infomercial,2018-08-03T07:00Z,2018-08-03T08:00Z,373082,Infomercial
483,cinelab,2018-08-03T08:00Z,2018-08-03T08:25Z,446070,Cinelab
483,chicago_med,2018-08-03T08:25Z,2018-08-03T09:15Z,626779,Chicago Med
483,chicago_med,2018-08-03T09:15Z,2018-08-03T10:10Z,631044,Chicago Med
483,chicago_med,2018-08-03T10:10Z,2018-08-03T11:05Z,633287,Chicago Med
483,chicago_med,2018-08-03T11:05Z,2018-08-03T12:00Z,633288,Chicago Med
483,house,2018-08-03T12:00Z,2018-08-03T12:55Z,258928,House
483,shades_of_blue,2018-08-03T12:55Z,2018-08-03T13:50Z,590237,Shades of Blue
483,coracoes_de_ferro,2018-08-03T13:50Z,2018-08-03T16:15Z,443250,Corações de Ferro
483,chicago_fire,2018-08-03T16:15Z,2018-08-03T17:10Z,552391,Chicago Fire
483,chicago_fire,2018-08-03T17:10Z,2018-08-03T18:05Z,552392,Chicago Fire
483,cinelab,2018-08-03T18:05Z,2018-08-03T18:35Z,588482,Cinelab
483,conselho_tutelar,2018-08-03T18:35Z,2018-08-03T19:35Z,663451,Conselho Tutelar
483,lucifer,2018-08-03T19:35Z,2018-08-03T20:30Z,663459,Lucifer
483,o_homem_com_punhos_de_ferro_2,2018-08-03T20:30Z,2018-08-03T22:10Z,498340,O Homem com Punhos de Ferro 2
483,kickass_quebrando_tudo,2018-08-03T22:10Z,2018-08-04T00:20Z,237467,Kick-Ass - Quebrando Tudo
483,kickass_2,2018-08-04T00:20Z,2018-08-04T02:10Z,392227,Kick-Ass 2
483,shades_of_blue,2018-08-04T02:10Z,2018-08-04T03:05Z,590237,Shades of Blue
483,chicago_fire,2018-08-04T03:05Z,2018-08-04T04:00Z,552391,Chicago Fire
483,chicago_fire,2018-08-04T04:00Z,2018-08-04T05:10Z,552392,Chicago Fire
483,kickass_2,2018-08-04T05:10Z,2018-08-04T07:00Z,392227,Kick-Ass 2
483,infomercial,2018-08-04T07:00Z,2018-08-04T08:00Z,373082,Infomercial
483,shades_of_blue,2018-08-04T08:00Z,2018-08-04T08:55Z,590237,Shades of Blue
483,house,2018-08-04T08:55Z,2018-08-04T09:50Z,258928,House
483,kickass_quebrando_tudo,2018-08-04T09:50Z,2018-08-04T12:00Z,237467,Kick-Ass - Quebrando Tudo
483,chicago_fire,2018-08-04T12:00Z,2018-08-04T12:55Z,552391,Chicago Fire
483,chicago_fire,2018-08-04T12:55Z,2018-08-04T13:50Z,552392,Chicago Fire
483,lucifer,2018-08-04T13:50Z,2018-08-04T14:45Z,658592,Lucifer
483,lucifer,2018-08-04T14:45Z,2018-08-04T15:40Z,663459,Lucifer
483,chicago_med,2018-08-04T15:40Z,2018-08-04T16:35Z,637922,Chicago Med
483,chicago_fire,2018-08-04T16:35Z,2018-08-04T17:30Z,617514,Chicago Fire
483,chicago_pd,2018-08-04T17:30Z,2018-08-04T18:25Z,626780,Chicago P.D.
483,law_order_svu,2018-08-04T18:25Z,2018-08-04T19:20Z,652785,Law & Order SVU
483,o_homem_com_punhos_de_ferro_2,2018-08-04T19:20Z,2018-08-04T20:55Z,498340,O Homem com Punhos de Ferro 2
483,47_ronins,2018-08-04T20:55Z,2018-08-04T23:00Z,406821,47 Ronins
483,a_mumia_tumba_do_imperador_dragao,2018-08-04T23:00Z,2018-08-05T01:00Z,448596,A Múmia - Tumba do Imperador Dragão
483,o_escorpiao_rei,2018-08-05T01:00Z,2018-08-05T02:35Z,63093,O Escorpião Rei
483,chicago_med,2018-08-05T02:35Z,2018-08-05T03:30Z,637922,Chicago Med
483,chicago_fire,2018-08-05T03:30Z,2018-08-05T04:20Z,617514,Chicago Fire
483,chicago_pd,2018-08-05T04:20Z,2018-08-05T05:10Z,626780,Chicago P.D.
483,lucifer,2018-08-05T05:10Z,2018-08-05T06:05Z,658592,Lucifer
483,law_order_svu,2018-08-05T06:05Z,2018-08-05T07:00Z,652785,Law & Order SVU
483,infomercial,2018-08-05T07:00Z,2018-08-05T08:05Z,373082,Infomercial
483,cinelab,2018-08-05T08:05Z,2018-08-05T08:35Z,446082,Cinelab
483,lucifer,2018-08-05T08:35Z,2018-08-05T09:30Z,658592,Lucifer
483,missao_impossivel_3,2018-08-05T09:30Z,2018-08-05T11:45Z,123141,Missão Impossível 3
483,macgyver,2018-08-05T11:45Z,2018-08-05T12:40Z,652982,MacGyver
483,macgyver,2018-08-05T12:40Z,2018-08-05T13:35Z,658595,Macgyver
483,macgyver,2018-08-05T13:35Z,2018-08-05T14:30Z,658596,Macgyver
483,macgyver,2018-08-05T14:30Z,2018-08-05T15:25Z,658597,Macgyver
483,macgyver,2018-08-05T15:25Z,2018-08-05T16:20Z,658598,Macgyver
483,macgyver,2018-08-05T16:20Z,2018-08-05T17:15Z,663464,Macgyver
483,47_ronins,2018-08-05T17:15Z,2018-08-05T19:20Z,406821,47 Ronins
483,o_escorpiao_rei,2018-08-05T19:20Z,2018-08-05T21:00Z,63093,O Escorpião Rei
